"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"experiment_type","15","EXPER_TYPE","10","EXPER_TYPE","9","","General type of experiment, e.g., varietal trial","code","text","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"site_name","9","SITE_NAME","10","SITE_NAME","9","","Name of site for experiment","text","text","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"site_type","9","SITE_TYPE","9","SITE_TYPE","10","","Type of site, e.g., station, on-farm","code","text","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"management_type","15","MGMT_TYPE","9","MGMT_TYPE","11","","Whether managed by researchers, producers","code","text","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"experiment_duration","19","EXP_DUR","7","EXP_DUR","12","","Duration of experiment in years","year","single","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"rotation","8","ROTATION","9","ROTATION","13","","Crop rotation indicator (=1 for continuous, multi-year simulation, =0 for single year simulations with multiple initializations)","code","text","1","EXPERIMENT","METADATA","GENERAL","","1011","1","","","","","","","1","","0","","","","","","","","","","","","",""
"cropping_system","15","CR_SYSTEM","9","CR_SYSTEM","13","","Cropping system descriptive name","text","text","60","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"ex_license","10","ex_license","10","ex_license","21","","Data license name and url","text","memo","","EXPERIMENT","METADATA","GENERAL","","1011","0","2015-11-24, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"distrib_restrictions","20","pro","3","EX_DISTRIB","21","","Distribution limitations for the data set","text","memo","","EXPERIMENT","METADATA","GENERAL","","1011","0","2013-02-14, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"ex_funding_source","17","ex_funding_source","17","ex_funding_source","21","","Funding source(s) for this data set","text","memo","","EXPERIMENT","METADATA","GENERAL","","1011","0","2015-11-24, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"file_version","12","VERSION","7","VERSION","31","","File version for ICASA standard","text","text","78","EXPERIMENT","METADATA","GENERAL","","1011","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_date_first","19","REV_DATE_FIRST","14","REV_DATE_FIRST","32","","Date the file was first created","date","","","EXPERIMENT","METADATA","GENERAL","","1011","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_date_latest","20","REV_DATE_LATEST","15","REV_DATE_LATEST","33","","Date the file was last revised","date","","","EXPERIMENT","METADATA","GENERAL","","1011","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_notes","14","REVISION_NOTES","14","REVISION_NOTES","34","","Notes describing reasons for the revision","text","memo","","EXPERIMENT","METADATA","GENERAL","","1011","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"AgMIP_date_rated","16","AGMIP_DATE","10","AGMIP_DATE","1","","Date of AgMIP rating","date","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"AgMIP_rater","11","AGMIP_RATER","11","AGMIP_RATER","2","","Initials of person assigning AgMIP rating","text","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"AgMIP_rating","12","AGMIP_RATING","12","AGMIP_RATING","3","","AgMIP sentinel site rating (gold, silver, etc.)","code","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"data_source","11","DATA_SOURCE","11","DATA_SOURCE","4","","Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)","code","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-1","0","","","","","","","","","","","","",""
"last_update","11","LAST_UPDATE","11","LAST_UPDATE","5","","Date of last upload of information to experimental data","date","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"crop_model_version","18","MODEL_VER","9","MODEL_VER","6","","Crop model version related to data upload","text","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-1","0","","","","","","","","","","","","",""
"AgMIP_rating_mgmt","17","RATING_MGMT","11","RATING_MGMT","7","","AgMIP sentinel site rating for management data","number","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"AgMIP_rating_observations","25","RATING_OBS","10","RATING_OBS","8","","AgMIP sentinel site rating for observed data","number","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"AgMIP_rating_soils","18","RATING_SOIL","11","RATING_SOIL","9","","AgMIP sentinel site rating for soil data","number","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"AgMIP_rating_weather","20","RATING_WTH","10","RATING_WTH","10","","AgMIP sentinel site rating for weather data","number","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"user_id","7","USER_ID","7","USER_ID","11","","id of user who uploaded data (typically email address)","text","","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","2","-2","0","","","","","","","","","","","","",""
"experiment_citation","19","ex_citation","11","ex_citation","1","","Full citation for experimental data","text","text","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","3","","0","","","","","","","","","","","","",""
"experiment_license","18","ex_license","10","ex_license","1","","License associated with experiment","text","text","","EXPERIMENT","METADATA","GENERAL","AGMIP","1012","0","","","","","","","3","","0","","","","","","","","","","","","",""
"people_level","12","PP","2","PP","1","1","id","","","","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
