@,Code_Display,Code,Description
,"IROP, IAME",IR001,"Furrow, mm"
,"IROP, IAME",IR002,"Alternating furrows, mm"
,"IROP, IAME",IR003,"Flood, mm"
,"IROP, IAME",IR004,"Sprinkler, mm"
,"IROP, IAME",IR005,"Drip or trickle, mm"
,"IROP, IAME",IR006,"Flood depth, mm"
,"IROP, IAME",IR007,"Water table depth, mm"
,"IROP, IAME",IR008,"Percolation rate, mm day-1"
,"IROP, IAME",IR009,"Bund height, mm"
,"IROP, IAME",IR010,Puddling (for Rice only)
,"IROP, IAME",IR011,"Constant flood depth, mm"
,"IROP, IAME",IR012,"Subsurface (burried) drip, mm"
,"IROP, IAME",IR999,Irrigation method unknown/not given
,,,
,IRSTG,,
,IRSTG,,
,IRSTG,,
,IRSTG,,
,,,
,IRRIG,Y,
,IRRIG,N,
,IRRIG,,
,IRRIG,U,Irrigation method unknown/not given
,,,
,SAMHB,SA101,
,SAMHB,SA102,
,SAMHB,SA103,
,SAMHB,SA104,
,SAMHB,SA105,
,SAMHB,SA199,Method unknown/not given
,,,
,SAMPX,SA001,Olsen
,SAMPX,SA002,Bray No. 1
,SAMPX,SA003,Bray No. 2
,SAMPX,SA004,"Mehlich I (double acid, 1:5)"
,SAMPX,SA005,Anion exchange resin
,SAMPX,SA006,Truog
,SAMPX,SA007,"Mehlich I (double acid, 1:10)"
,SAMPX,SA008,Colwell
,SAMPX,SA009,Water
,SAMPX,SA010,IFDC Pi strip
,SAMPX,SA011,pH in Water
,SAMPX,SA012,pH in KCl
,SAMPX,SA013,Mehlich 3
,SAMPX,SA014,Morgan's solution
,SAMPX,SA015,NH4OAc
,SAMPX,SA099,Method unknown/not given
,,,
,SAMKE,SA201,NH4OaAc
,SAMKE,SA202,Mehlich
,SAMKE,SA203,Mehlich
,SAMKE,SA204,Mehlich
,SAMKE,SA299,Method unknown/not given
,,,
,PLMA,S,Dry seed
,PLMA,T,Transplants
,PLMA,N,Nursery
,PLMA,P,Pregerminated seed
,PLMA,R,Ratoon
